"user_id","name","email","department","role","joining_date","employee_id","access_level","status","last_login","created_transactions","approval_limit"
"USR000001","Arjun Joshi","arjun.joshi@company.com","R&D","Executive","2025-01-26","EMP565247",4,"Active","2025-02-18T23:17:33.281Z",702,298759
"USR000002","Suresh Kumar","suresh.kumar@company.com","Procurement","Executive","2018-04-23","EMP938485",1,"Active","2025-02-10T04:56:02.910Z",368,194805
"USR000003","Sunita Reddy","sunita.reddy@company.com","Production","Executive","2017-10-06","EMP013705",2,"Active","2025-02-10T02:54:39.642Z",336,282499
"USR000004","Sunita Reddy","sunita.reddy@company.com","IT","Executive","2021-04-06","EMP130770",1,"Active","2025-02-16T12:52:03.981Z",99,284658
"USR000005","Advait Malhotra","advait.malhotra@company.com","Admin","Executive","2022-10-12","EMP799545",4,"Active","2025-02-18T12:00:55.218Z",478,355091
"USR000006","Aarav Verma","aarav.verma@company.com","Production","Executive","2022-03-21","EMP405430",1,"Active","2025-02-15T08:32:28.139Z",262,86174
"USR000007","Anita Sharma","anita.sharma@company.com","IT","Executive","2025-02-09","EMP393598",2,"Active","2025-02-19T14:34:32.962Z",786,39749
"USR000008","Vihaan Kapoor","vihaan.kapoor@company.com","Procurement","Executive","2019-05-28","EMP652099",1,"Active","2025-02-10T04:51:09.729Z",540,829101
"USR000009","Anita Bansal","anita.bansal@company.com","R&D","Executive","2015-08-22","EMP780385",2,"Active","2025-02-19T05:02:38.881Z",37,292951
"USR000010","Arjun Singh","arjun.singh@company.com","Production","Executive","2017-09-02","EMP892987",2,"Active","2025-02-11T23:37:09.120Z",225,824555
"USR000011","Deepika Shah","deepika.shah@company.com","R&D","Executive","2024-01-14","EMP275322",3,"Active","2025-02-16T21:57:11.105Z",510,97122
"USR000012","Arjun Verma","arjun.verma@company.com","Admin","Executive","2024-11-20","EMP588280",1,"Active","2025-02-18T11:32:08.664Z",991,882631
"USR000013","Diya Reddy","diya.reddy@company.com","HR","HR Executive","2023-02-25","EMP294033",3,"Active","2025-02-10T11:37:30.236Z",981,988827
"USR000014","Anita Kapoor","anita.kapoor@company.com","HR","HR Executive","2019-12-08","EMP968183",2,"Active","2025-02-17T08:47:56.486Z",152,284343
"USR000015","Advait Patel","advait.patel@company.com","Marketing","Executive","2021-01-31","EMP027276",4,"Active","2025-02-19T00:51:55.421Z",592,804716
"USR000016","Sunita Chopra","sunita.chopra@company.com","Procurement","Executive","2025-01-01","EMP928130",4,"Inactive","2025-02-15T04:40:16.587Z",261,810099
"USR000017","Vihaan Chopra","vihaan.chopra@company.com","Operations","Executive","2017-02-03","EMP412335",2,"Active","2025-02-18T13:46:12.610Z",281,845897
"USR000018","Advait Mehta","advait.mehta@company.com","Admin","Executive","2024-03-12","EMP532439",1,"Active","2025-02-16T18:40:16.765Z",805,861715
"USR000019","Reyansh Shah","reyansh.shah@company.com","R&D","Executive","2018-03-26","EMP263231",2,"Active","2025-02-15T17:13:02.259Z",521,417554
"USR000020","Aanya Kumar","aanya.kumar@company.com","IT","Executive","2022-07-16","EMP874507",3,"Active","2025-02-12T23:31:57.989Z",239,252757
"USR000021","Dinesh Chopra","dinesh.chopra@company.com","Sales","Business Developer","2023-12-05","EMP504279",2,"Active","2025-02-13T11:11:52.913Z",443,735070
"USR000022","Deepika Sharma","deepika.sharma@company.com","Sales","Business Developer","2022-01-15","EMP540080",3,"Active","2025-02-17T20:27:24.430Z",521,675693
"USR000023","Diya Shah","diya.shah@company.com","Procurement","Executive","2019-07-20","EMP062364",1,"Active","2025-02-19T13:12:30.954Z",515,158361
"USR000024","Suresh Shah","suresh.shah@company.com","Marketing","Executive","2021-09-02","EMP562258",2,"Active","2025-02-18T12:14:50.837Z",945,438585
"USR000025","Rajesh Kapoor","rajesh.kapoor@company.com","HR","Recruiter","2022-04-10","EMP105347",2,"Active","2025-02-19T00:36:39.925Z",315,727780
"USR000026","Anita Bansal","anita.bansal@company.com","Finance","Financial Analyst","2023-05-02","EMP142550",3,"Active","2025-02-13T04:07:42.767Z",853,503372
"USR000027","Anita Shah","anita.shah@company.com","Sales","Business Developer","2017-02-06","EMP895987",1,"Active","2025-02-14T09:03:26.135Z",648,58684
"USR000028","Advait Kapoor","advait.kapoor@company.com","Marketing","Executive","2016-12-08","EMP075928",4,"Active","2025-02-09T23:09:14.900Z",114,228401
"USR000029","Deepika Malhotra","deepika.malhotra@company.com","HR","HR Executive","2021-04-05","EMP924943",3,"Active","2025-02-11T00:58:25.252Z",539,772628
"USR000030","Priyanka Shah","priyanka.shah@company.com","Procurement","Executive","2019-11-02","EMP157991",1,"Active","2025-02-12T19:37:39.610Z",963,636063
"USR000031","Deepika Singh","deepika.singh@company.com","R&D","Executive","2018-10-10","EMP687716",2,"Active","2025-02-12T11:17:09.921Z",379,926515
"USR000032","Mukesh Gupta","mukesh.gupta@company.com","IT","Executive","2021-02-04","EMP292164",2,"Active","2025-02-10T15:04:45.572Z",169,284014
"USR000033","Vihaan Patel","vihaan.patel@company.com","Finance","Controller","2017-12-28","EMP078309",2,"Active","2025-02-15T12:31:58.346Z",575,213841
